<SYM>
AUDCAD
AUDCHF
AUDCZK
AUDDKK
AUDHKD
AUDHUF
AUDJPY
AUDMXN
AUDNOK
AUDNZD
AUDPLN
AUDSEK
AUDSGD
AUDUSD
AUDZAR
CADCHF
CADCZK
CADDKK
CADHKD
CADHUF
CADJPY
CADMXN
CADNOK
CADPLN
CADSEK
CADSGD
CADZAR
CHFCZK
CHFDKK
CHFHKD
CHFHUF
CHFJPY
CHFMXN
CHFNOK
CHFPLN
CHFSEK
CHFSGD
CHFTRY
CHFZAR
DKKCZK
DKKHKD
DKKHUF
DKKMXN
DKKNOK
DKKPLN
DKKSEK
DKKSGD
DKKZAR
EURAUD
EURCAD
EURCHF
EURCZK
EURDKK
EURGBP
EURHKD
EURHUF
EURJPY
EURMXN
EURNOK
EURNZD
EURPLN
EURSEK
EURSGD
EURTRY
EURUSD
EURZAR
GBPAUD
GBPCAD
GBPCHF
GBPCZK
GBPDKK
GBPHKD
GBPHUF
GBPJPY
GBPMXN
GBPNOK
GBPNZD
GBPPLN
GBPSEK
GBPSGD
GBPUSD
GBPZAR
JPYCZK
JPYDKK
JPYHKD
JPYHUF
JPYMXN
JPYNOK
JPYPLN
JPYSEK
JPYSGD
JPYZAR
NOKCZK
NOKHKD
NOKHUF
NOKMXN
NOKPLN
NOKSEK
NOKSGD
NOKZAR
NZDCAD
NZDCHF
NZDCZK
NZDDKK
NZDHKD
NZDHUF
NZDJPY
NZDMXN
NZDNOK
NZDPLN
NZDSEK
NZDSGD
NZDUSD
NZDZAR
USDCAD
USDCHF
USDCZK
USDDKK
USDHKD
USDHUF
USDJPY
USDMXN
USDNOK
USDPLN
USDSEK
USDSGD
USDTRY
USDZAR
