<SYM>
EURUSD
GBPUSD
USDCHF
USDJPY
USDCNY
AUDUSD
NZDUSD
USDCAD
USDSEK
USDHKD
#USDSGD
USDNOK
USDDKK
#USDTRY
USDZAR
USDCZK
USDMXN
#USDARS
USDILS
