<SYM>
TSM
SPY
Symbol
MSFT
AAPL
NVDA
AMZN
META
AVGO
TSLA
AMD
COST
GOOGL
GOOG
NFLX
ADBE
PEP
CSCO
QCOM
INTC
TMUS
INTU
CMCSA
AMAT
TXN
AMGN
ISRG
HON
LRCX
BKNG
MU
VRTX
SBUX
REGN
ADP
ADI
MDLZ
KLAC
GILD
PANW
SNPS
ASML
CDNS
PDD
MELI
CRWD
CSX
MAR
ABNB
NXPI
ORLY
PYPL
CTAS
MNST
MRVL
PCAR
ROP
WDAY
LULU
ADSK
FTNT
CEG
CPRT
DXCM
MCHP
ROST
DASH
ODFL
IDXX
PAYX
AEP
CHTR
FAST
KHC
MRNA
GEHC
KDP
AZN
CTSH
DDOG
EXC
EA
TTD
CSGP
ON
VRSK
TEAM
CDW
FANG
BIIB
CCEP
DLTR
BKR
ZS
GFS
ANSS
XEL
SPLK
MDB
TTWO
WBD
ILMN
WBA
SIRI

