<SYM>,vss,kss
BKR ,0.7556314241751916,0.0673363414634146
FIW,0.7332383452393074,0.0674398765432098
PRN,0.9059219977842188,0.0675387096774193
XLE,0.9150036676396504,0.0675530864197531
IFRA,0.7119211329203792,0.0677003703703703
PTF,0.9033532071646476,0.0677086075949366
META ,0.773274843004187,0.0678114634146341
PSC,0.8055138495654793,0.0681941791044776
ROUS,0.8517347424295603,0.0682299999999999
VTV,0.9031228031104184,0.0682866666666667
MMIT,0.9911197851196416,0.0687785365853658
TTWO ,0.737408134832812,0.0689039024390243
ACWI,0.7933039014733726,0.0690551851851851
ABNB ,0.771293770068163,0.0690921951219512
ADI ,0.8210738884775031,0.0691317073170731
FNDA,0.7687583348277778,0.0693222222222222
HSCZ,0.9773024393141984,0.0697697183098591
CEFS,0.7778128065572474,0.0698223456790124
DIVO,0.8676347122831612,0.0698739506172839
PXH,0.9244990087083896,0.0699567901234567
COWZ,0.684051923218608,0.0701797530864197
PAVE,0.6398068463815998,0.0703281481481481
XLU,0.7143899621690494,0.0703453086419753
RDVY,0.7912014005968144,0.0704123456790123
CCEP ,0.8834823708070477,0.0705009756097561
VFMF,0.718189857917757,0.0705566666666667
TDTF,0.7556212909826143,0.0706658536585365
DTD,0.8790611364356733,0.07106
CTAS ,0.8655215873766794,0.0710612195121951
FNCL,0.7299737212363394,0.0710785185185184
IYG,0.7698690145039064,0.0711880246913579
IGRO,0.9711279889705589,0.0713531707317073
ASML ,0.7400055130258241,0.0717114634146341
MLPX,0.7515694482972093,0.0717246913580246
FMAT,0.9656031227859644,0.0717704938271605
IMTM,0.8297724220391286,0.0718041975308642
RSPM,0.9271836446986712,0.0718188888888889
CGW,0.7469877784644219,0.072180987654321
DBEF,0.8192600986805177,0.0722553658536585
VTIP,0.770202359261187,0.0723419512195122
AOA,0.7907574958782823,0.0723506172839505
VT,0.7694005051819541,0.0724465432098765
XLRE,0.7005760780041713,0.0724792592592592
KLAC ,0.770202359261187,0.0726665853658536
SPIB,0.8704995275379828,0.073130243902439
QINT,0.9401804903384088,0.0732009523809522
MNST ,0.9205970951818812,0.0732351219512195
SPGP,0.8085487023863651,0.0734155555555555
DGRW,0.8069655563917133,0.0734704938271605
EWW,0.7720769670965669,0.0735570731707316
ODFL ,0.8321113077384369,0.073620731707317
NUDM,0.976954023775754,0.0737899999999999
IGM,0.7918235284546965,0.0740551851851851
HEWJ,0.9136828337574716,0.0740763157894737
HEFA,0.8777176683446579,0.0744473170731707
RING,0.9165484694155246,0.0745121951219512
LGOV,0.7298619146698493,0.0746124390243901
CDNS ,0.8336029133511429,0.074650975609756
EWX,0.9911197851196416,0.0746699999999999
EMXC,0.8661889117279172,0.0747207407407408
AUSF,0.7081917471084008,0.0747458064516128
BLCN,0.9541050861902672,0.0749928571428571
FNY,0.8338676098690035,0.0751466666666665
FMB,0.8433204318192307,0.0753024390243902
QUAL,0.7623097342851413,0.0755193827160493
FNDF,0.8884717855704839,0.0757369135802469
TOLZ,0.8049753392816846,0.0762206557377049
VOX,0.8765228269287485,0.0764322222222221
GDX,0.9783693296045688,0.0765485365853658
NVDA ,0.7350918465545189,0.0766417073170731
MFDX,0.9662638648793022,0.0768199999999999
REZ,0.911607077783561,0.0770246913580246
TEAM ,0.8871854837889066,0.0770258536585365
IWM,0.770202359261187,0.0770619512195122
XMVM,0.911607077783561,0.0771807692307693
SPHQ,0.6994695589724241,0.0772953086419753
FV,0.768783505638471,0.0773937037037036
IQDY,0.8429565551940732,0.0775387804878049
VIOO,0.770202359261187,0.0776182716049383
CLS,0.8055555994201696,0.0776234567901235
CSX ,0.851496539975951,0.0777758536585366
NXPI ,0.930537108943622,0.0783073170731707
PSI,0.9933105929508348,0.0784108860759493
HFXI,0.9617513945588222,0.0784785185185185
FDRR,0.9045958473271928,0.0784974358974358
PXE,0.9741291801373554,0.0784999999999999
IDXX ,0.8607331297913027,0.0785587804878049
ITA,0.9100466010987176,0.0786151219512195
XLB,0.7785596627498892,0.0787375609756098
JMOM,0.7378377884549777,0.0788320253164556
MBSD,0.6300188217914586,0.0789369767441861
DGT,0.8613571502542567,0.0790166666666667
LMBS,0.7931947075859295,0.0791280487804878
PYPL ,0.6619625442765217,0.0793807317073169
EWM,0.8316953965140801,0.0794909756097561
CPRT ,0.7079965626042011,0.0795892682926829
AMAT ,0.9170738188020656,0.0797451219512195
RFV,0.8924796266372947,0.0798228571428571
DXCM ,0.6194138152980744,0.0800419512195121
UTES,0.7424545210926902,0.0813449152542372
EPS,0.857595281477626,0.0813895061728395
IDX,0.97875796631877,0.0815047368421052
IXN,0.8374451751016052,0.0819033333333332
TMUS ,0.965618874089496,0.0820551219512195
PCEF,0.9081451662161286,0.0820607407407406
VTHR,0.8235341302371815,0.0821999999999999
VGT,0.7502796882775151,0.0825428395061728
VBR,0.6915100687156783,0.082570987654321
AMD ,0.7716446398456764,0.0826519512195121
TXN ,0.9782051324482454,0.0827441463414634
ETHO,0.9123353674806032,0.0828438095238095
SOXX,0.8755513321899009,0.0828998765432099
SDVY,0.7729471402673791,0.0829669135802468
VDC,0.7800861406938095,0.0831155555555555
IJR,0.7830379036209735,0.0831325925925926
ITB,0.855735015088556,0.083197160493827
THD,0.8590342892016722,0.0835267532467532
IGSB,0.7902119670395291,0.0835299999999999
RLY,0.9381570891040818,0.0835658536585366
FCOM,0.9043882598772628,0.0838288888888888
VRTX ,0.6959081702766723,0.0838709756097561
XLY,0.7307622083475513,0.0840133333333332
IGEB,0.7550215363926565,0.0841985185185184
ATMP,0.7275591771816311,0.0842066666666666
RSPU,0.8455415772184662,0.0845312987012986
ESPO,0.9772179102713832,0.0847824324324324
CSCO ,0.9799129979704808,0.0849958536585366
XCEM,0.8521504147830061,0.0850824691358025
XSD,0.7666750403082974,0.0852313924050633
PTH,0.7548837717191396,0.0852433333333333
QDEF,0.779605136518954,0.0853777551020408
PCAR ,0.8651939463828408,0.0854126829268292
SPGM,0.8794882330005522,0.0854432098765431
FVAL,0.971423981913522,0.0855693827160493
XLK,0.8372132199302134,0.0856233333333332
FYX,0.9168205456714474,0.0856237662337663
WBD ,0.7361473525300338,0.0856773170731707
HMOP,0.991482227890698,0.08581
USMC,0.9098584527930712,0.08585
GMF,0.904441892594671,0.0858836363636364
ON ,0.8964462929744732,0.0858912195121951
FTEC,0.8016498513987746,0.0859258024691357
BLOK,0.962108282326007,0.0860098765432098
FNX,0.7722548060333407,0.0860182051282051
RWK,0.7903241409951418,0.0861013924050633
IGBH,0.911607077783561,0.0863840845070422
TUR,0.9468825468635838,0.0867287654320988
XSVM,0.7970831671388819,0.0867417073170732
FTSD,0.406983475679998,0.0868296825396826
FDVV,0.7689803744670869,0.0868662962962962
HEEM,0.9927026118901762,0.0872917543859649
ZS ,0.7036543141364188,0.0873370731707317
IAI,0.7156906394431929,0.0875649367088607
VFVA,0.9395813223150457,0.0876024324324324
COST ,0.8569552614005839,0.0876812195121951
FDIS,0.7292114805173997,0.0876819753086419
IMCG,0.7977037826105011,0.0878087654320987
PEP ,0.772029644135688,0.0878368292682926
JQUA,0.6866459874256189,0.0879048148148147
EEMS,0.9467418232719096,0.0883092957746478
FTNT ,0.7835479772423702,0.0883112195121951
EWJV,0.8624870923751886,0.0883720987654321
REGN ,0.8902413454697762,0.0885624390243902
NTSX,0.8556613993365484,0.0886919753086419
AIRR,0.7691832909724251,0.088810987654321
XLF,0.8007614479168012,0.0889569135802468
IYK,0.6524822401149087,0.0889721951219512
FTLS,0.9961338612288652,0.0889867901234567
VCIT,0.911607077783561,0.0893053658536585
FCOR,0.8956263840693699,0.0893415384615384
FHLC,0.9164773184182752,0.08939012345679
EZA,0.6928580032428425,0.0895366666666667
DGRS,0.795763903934792,0.0895948051948052
IGIB,0.8853219325552774,0.089680243902439
GOVI,0.6819032317711661,0.0897870588235294
USAI,0.6531186992122516,0.0898018181818182
GAL,0.7611400577509714,0.0898088888888888
FLJH,0.8431866704392165,0.0899368421052632
KDP ,0.9885110116771748,0.0900073170731707
SCHP,0.7813955748237995,0.0901868292682926
DBEU,0.9270888051345456,0.0903699999999999
IYW,0.8024569367725853,0.0904006172839505
FAD,0.5873243443899259,0.0909637931034482
CWS,0.9911197851196416,0.091036923076923
EDIV,0.9783693296045688,0.0912378048780487
HYGH,0.8742342815503615,0.0913742857142856
IWP,0.713372339980116,0.0915479012345678
MRVL ,0.7649819482350613,0.0921158536585366
URTH,0.770202359261187,0.0921518518518518
IVOV,0.7813370240266081,0.0924527272727273
XLV,0.965618874089496,0.0929232098765432
IXC,0.911607077783561,0.0929687654320987
CDW ,0.7291414213344015,0.0934665853658536
IHI,0.8116783704562776,0.093617160493827
IAU,0.9092460749205435,0.093720487804878
JMUB,0.8217235787656197,0.0938480487804878
VLU,0.8811634806538001,0.0941045762711863
SYLD,0.806058791110494,0.0942906172839507
YYY,0.9893841041529922,0.0944362962962962
MOAT,0.7671923850155427,0.0944882716049383
ECH,0.9112737309289096,0.0951146341463414
NFLT,0.9862495444849272,0.0953496969696969
VCSH,0.8153100098282451,0.0954492682926829
RTH,0.5542100398432293,0.0955496774193548
EMMF,0.7486813602087384,0.0956466666666667
TRI ,0.9436654766460904,0.0956614634146342
VTI,0.8471623820450226,0.0962101265822784
SLQD,0.7072782750389103,0.0962841463414634
SKOR,0.8040069185780606,0.0966373417721518
MDLZ ,0.857595281477626,0.0969721951219512
IYF,0.7651014593257093,0.0970741975308641
INCO,0.9864621065962362,0.097611282051282
VCLT,0.7488784325074852,0.0977656097560975
VIGI,0.8878008885471548,0.0978098765432097
EUSA,0.8879164664174992,0.09802
